Name,Headline,Location,Company,Company_Months,Work_Months,Laidoff
Victor Rivera,Associate General Counsel Data Protection,South Carolina,Meta,225,309,False
Daniel Soto,Project Manager ,Arizona,Meta,31,95,True
Russell Simpson,Associate General Counsel Data Protection,Missouri,Meta,151,249,False
Bradley Pineda,Project Manager ,Florida,Meta,53,184,False
Susan Steele,3D Artist,Mississippi,Meta,71,211,False
Todd Morales,Project Manager ,Missouri,Meta,40,270,False
James Fuentes,Data Scientist,West Virginia,Meta,84,323,False
Heather Welch,Machine Learning Engineer,West Virginia,Meta,177,238,False
Danielle Romero,3D Artist,Hawaii,Meta,199,212,False
Allen Martinez,Data Scientist,Virginia,Meta,165,188,False
Brian Robinson,Data Analyst,Montana,Meta,151,345,False
Ronald Diaz,3D Artist,District of Columbia,Meta,123,343,False
Victor Khan,Product Manager,Oregon,Meta,235,330,False
Christina Burgess,Machine Learning Engineer,Rhode Island,Meta,54,223,False
Gabriel Hood,Machine Learning Engineer,South Carolina,Meta,186,274,False
Guy Wright,3D Artist,Indiana,Meta,110,356,False
Joshua Banks,Data Scientist ,Delaware,Meta,222,304,False
Andrew Harris,Associate General Counsel Data Protection,Kansas,Meta,107,246,False
Shawn Green,Software Engineer ,Wisconsin,Meta,106,142,False
Valerie Diaz,Associate General Counsel Data Protection,Connecticut,Meta,113,257,False
Laura Gardner,Machine Learning Engineer,Mississippi,Meta,159,274,False
Samuel Blankenship,Data Analyst,Rhode Island,Meta,107,319,False
Brooke Reid,Product Manager,Missouri,Meta,186,221,False
Robert Ramos,Product Manager,Kentucky,Meta,170,251,False
Jessica Miller,Software Engineer ,New Hampshire,Meta,3,216,True
Brian Wagner,Data Scientist ,Alaska,Meta,94,258,False
Chelsea Murphy,Software Engineer ,New Jersey,Meta,110,156,False
Angela Kim,Data Scientist,North Carolina,Meta,81,109,False
Sandra Greene,Project Manager ,New Mexico,Meta,131,358,False
David Elliott,Program Manager,Indiana,Meta,142,311,False
Dawn Hoffman,Data Engineer,South Dakota,Meta,122,158,False
Erica Terry,Program Manager,Ohio,Meta,229,247,False
Ricardo Fowler,3D Artist,Vermont,Meta,226,289,False
Kathleen Williams,Data Scientist ,Idaho,Meta,47,264,False
Natalie Johnson,Associate General Counsel Data Protection,Massachusetts,Meta,232,344,False
Austin Hernandez,Data Engineer,California,Meta,102,104,False
Deborah Miller,Associate General Counsel Data Protection,Georgia,Meta,99,305,False
Jennifer Cantu,Data Scientist,Louisiana,Meta,204,230,False
Ian Wolfe,Software Engineer ,North Dakota,Meta,233,254,False
Rachael Garcia,Product Manager,Minnesota,Meta,59,96,False
Ashley Gordon,Data Scientist ,Rhode Island,Meta,234,343,False
Jacob Melendez,Associate General Counsel Data Protection,Michigan,Meta,233,339,False
Tracy Vargas,Program Manager,Montana,Meta,12,18,True
James Bowers,Data Scientist,New York,Meta,97,239,False
Jennifer Jackson,Data Engineer,West Virginia,Meta,101,304,False
Nancy Aguilar MD,Data Engineer,Maine,Meta,164,355,False
Marie Carter MD,3D Artist,District of Columbia,Meta,124,156,False
Nicholas Ruiz,Data Scientist ,Virginia,Meta,111,202,False
Ellen Gonzalez,Associate General Counsel Data Protection,Georgia,Meta,178,300,False
Cameron Burke,Data Engineer,Massachusetts,Meta,129,279,False
Justin Keller,Project Manager ,Texas,Meta,98,262,False
Alyssa David,Machine Learning Engineer,Connecticut,Meta,147,174,False
Kimberly Lee,Data Scientist ,Illinois,Meta,157,209,False
Brooke Weeks,Data Analyst,Michigan,Meta,103,325,False
Virginia Marks,Project Manager ,Maine,Meta,122,172,False
Angela Anderson,Program Manager,Arizona,Meta,47,54,True
John West,Software Engineer ,Wisconsin,Meta,214,230,False
Stephen Becker,Program Manager,Ohio,Meta,232,261,False
Kevin Francis,Machine Learning Engineer,West Virginia,Meta,140,329,False
Erik Ray,Machine Learning Engineer,Wisconsin,Meta,15,45,True
Joyce Baker,Product Manager,Hawaii,Meta,137,305,False
Shannon Myers,Data Analyst,Alaska,Meta,177,335,False
Mercedes Gregory,Software Engineer ,Wyoming,Meta,152,346,False
Charles Singh,Software Engineer ,South Dakota,Meta,221,231,False
Marie Johnson,3D Artist,Utah,Meta,29,162,True
Gwendolyn Marsh,Project Manager ,Oklahoma,Meta,122,164,False
Antonio Hernandez,Software Engineer ,New Mexico,Meta,87,165,False
Bradley Fuller,Product Manager,Vermont,Meta,88,297,False
Janice Thompson,3D Artist,Arkansas,Meta,139,339,False
Andrea Key,Machine Learning Engineer,Tennessee,Meta,49,324,False
Ian Carlson,Product Manager,Iowa,Meta,141,294,False
Jeffrey Alvarado,Product Manager,North Dakota,Meta,78,350,False
Amy Ross,Machine Learning Engineer,Texas,Meta,5,160,True
Andrew Bryant,Data Engineer,Alabama,Meta,179,247,False
Kimberly Hernandez,Product Manager,Arkansas,Meta,132,318,False
Linda Collins,Program Manager,North Dakota,Meta,13,143,True
Jason Smith,Project Manager ,Alaska,Meta,77,235,False
Jonathan Rodriguez,Data Analyst,Nevada,Meta,188,321,False
Tracy Townsend,Data Scientist,South Carolina,Meta,145,240,False
Dr. Mary Mcneil,Data Scientist,New York,Meta,97,333,False
Susan Peters,Program Manager,Montana,Meta,32,267,False
Joseph Chambers,Product Manager,Connecticut,Meta,100,121,False
Mary Church,Data Scientist,North Carolina,Meta,148,225,False
Leslie Duran,Program Manager,Arizona,Meta,34,38,True
Gabrielle Johnson,Machine Learning Engineer,Louisiana,Meta,40,164,False
Chris Garcia II,Software Engineer ,Minnesota,Meta,68,230,False
Abigail Orozco,Data Scientist ,California,Meta,163,205,False
Natalie Horne,Program Manager,South Carolina,Meta,79,289,False
David Ramsey,Associate General Counsel Data Protection,North Dakota,Meta,103,141,False
Melissa Decker,Program Manager,Hawaii,Meta,123,299,False
Michelle Jimenez,Data Analyst,Wyoming,Meta,123,332,False
Joan Sullivan,Data Scientist,Rhode Island,Meta,6,236,True
Taylor Carrillo,Data Scientist,Alabama,Meta,220,356,False
Brittany Gallagher,Program Manager,Connecticut,Meta,41,238,False
Stacey Harris,Data Analyst,Connecticut,Meta,6,13,True
Stephen Phillips,Product Manager,Hawaii,Meta,207,244,False
Anthony Cabrera,3D Artist,Rhode Island,Meta,106,184,False
Debbie Owens,3D Artist,Kentucky,Meta,34,61,True
Kevin Flores,Software Engineer ,Michigan,Meta,180,257,False
Benjamin Newman,Product Manager,Kentucky,Meta,31,205,False
Hailey Johnson,Product Manager,Arizona,Meta,10,333,True
Corey Lewis,Data Scientist ,Vermont,Meta,4,314,True
Dawn Holden,Data Analyst,North Carolina,Meta,98,325,False
Jessica Brown,Product Manager,Minnesota,Meta,81,246,False
Samantha Colon,Project Manager ,District of Columbia,Meta,193,358,False
Christopher Lambert,Program Manager,Virginia,Meta,222,300,False
Amanda Patterson,Data Analyst,Nebraska,Meta,104,302,False
Denise Shah,Software Engineer ,Florida,Meta,221,273,False
Vanessa Wright,3D Artist,Vermont,Meta,139,299,False
Mary Farmer,3D Artist,Wyoming,Meta,47,110,False
Christopher Parker,Data Scientist,Michigan,Meta,124,345,False
Ashley Foster,Data Scientist,Vermont,Meta,147,311,False
Austin Stewart,Machine Learning Engineer,Kentucky,Meta,158,197,False
Juan Yates,3D Artist,North Dakota,Meta,29,83,True
Brent Hamilton,Data Scientist,Iowa,Meta,30,213,False
Kathryn Anderson,Data Engineer,Hawaii,Meta,104,194,False
Mary Mills,Data Scientist ,Nevada,Meta,156,344,False
Vincent Nichols,Data Engineer,Hawaii,Meta,107,247,False
Lisa Browning,Software Engineer ,Hawaii,Meta,146,217,False
Kristin Stark,Product Manager,Hawaii,Meta,92,276,False
Gabrielle Charles,Data Scientist ,Wyoming,Meta,52,256,False
James Long,Project Manager ,Louisiana,Meta,63,165,False
John Donovan,Data Scientist,Wyoming,Meta,180,276,False
Donna Horton,Software Engineer ,Louisiana,Meta,31,181,True
Brian Calderon,Data Scientist,Tennessee,Meta,6,101,True
Alex Salinas,Software Engineer ,Arizona,Meta,106,256,False
Joanna Jones,Data Engineer,Arizona,Meta,205,321,False
Ashley Murphy,Data Analyst,Texas,Meta,110,132,False
Krista Hartman,Data Scientist ,West Virginia,Meta,231,260,False
Teresa Neal,Program Manager,Oklahoma,Meta,19,71,True
Amy Romero,3D Artist,Louisiana,Meta,123,154,False
Samuel Williams,Associate General Counsel Data Protection,Georgia,Meta,50,276,False
Angela Garcia,Machine Learning Engineer,Mississippi,Meta,212,333,False
Yolanda Carr,Data Analyst,Tennessee,Meta,222,308,False
Rebecca Alexander,Product Manager,Michigan,Meta,16,215,True
Chelsea Lawrence,Program Manager,Michigan,Meta,177,333,False
Sarah Cunningham,Product Manager,New York,Meta,212,239,False
Robert Lee,Product Manager,Connecticut,Meta,44,191,False
Paul Sandoval,Data Analyst,Vermont,Meta,80,294,False
Miss Nicole Jones DVM,Software Engineer ,Maryland,Meta,12,241,True
Karen Forbes,Project Manager ,Montana,Meta,194,287,False
Rachel Smith,Program Manager,Wyoming,Meta,16,195,True
Darius Howard,3D Artist,Vermont,Meta,227,313,False
Aaron Rasmussen,Data Engineer,Vermont,Meta,46,196,False
Lori Wu,3D Artist,Michigan,Meta,110,213,False
Patrick Ayala,Project Manager ,California,Meta,211,355,False
Jonathan Jackson,Data Engineer,Texas,Meta,18,106,True
Dylan Hughes,3D Artist,Maine,Meta,231,359,False
Lisa Fox,Data Analyst,Louisiana,Meta,98,180,False
Ryan Kramer,Data Analyst,North Dakota,Meta,120,319,False
Sherry Turner,Project Manager ,Maryland,Meta,15,179,True
Darius Atkinson,Machine Learning Engineer,Arizona,Meta,27,49,True
Anna Branch,Program Manager,Kentucky,Meta,35,56,True
Amanda Cunningham,Data Analyst,Delaware,Meta,197,315,False
Jonathan Moore,Project Manager ,Rhode Island,Meta,147,244,False
Jason Lopez,Product Manager,Utah,Meta,140,279,False
Kaitlyn Carey,Machine Learning Engineer,Wyoming,Meta,122,302,False
Cheryl Howard,Data Engineer,Montana,Meta,77,145,False
Rebecca Pugh,Associate General Counsel Data Protection,Massachusetts,Meta,174,263,False
Bobby Norris,Program Manager,South Carolina,Meta,41,304,False
Amy Griffin,Data Scientist ,District of Columbia,Meta,8,254,True
Sarah Leonard,Product Manager,Hawaii,Meta,34,92,True
Lisa Snow,Software Engineer ,Nebraska,Meta,8,170,True
Juan Smith,Product Manager,Arizona,Meta,133,266,False
Hayden Ferguson,Data Scientist ,Oklahoma,Meta,190,308,False
Christine Gray,3D Artist,North Carolina,Meta,104,282,False
Tina Weeks,Data Analyst,West Virginia,Meta,77,331,False
Christopher Scott,Data Scientist ,Washington,Meta,97,211,False
Mary Ortiz,Data Scientist ,Hawaii,Meta,126,218,False
Susan Hansen,Data Scientist ,Washington,Meta,72,292,False
Nicole Burns,Data Scientist ,Alabama,Meta,154,251,False
Kimberly Flowers,Program Manager,Virginia,Meta,2,271,True
Nicholas Kelley,Software Engineer ,California,Meta,117,155,False
Daisy Hall,Machine Learning Engineer,Colorado,Meta,214,215,False
Joseph Anderson,Machine Learning Engineer,Missouri,Meta,160,273,False
Phillip Johnson,Data Engineer,North Carolina,Meta,115,153,False
Virginia Freeman,Software Engineer ,North Carolina,Meta,29,232,False
Zachary Romero,Data Scientist ,Iowa,Meta,115,214,False
Kurt Ryan,Program Manager,Washington,Meta,32,211,False
Briana Brown,Data Engineer,Massachusetts,Meta,67,328,False
Jennifer Sanchez,Software Engineer ,Louisiana,Meta,1,329,True
Jason Brown,Project Manager ,North Carolina,Meta,172,280,False
Anthony Moses,Program Manager,Wyoming,Meta,25,169,True
Jeffrey Reed,Product Manager,North Carolina,Meta,126,222,False
Jennifer Peterson,Data Scientist ,New York,Meta,225,266,False
Joshua Garcia,Data Analyst,Ohio,Meta,153,174,False
John Davis,Software Engineer ,Hawaii,Meta,156,202,False
Nicholas Hayes,Data Scientist,Montana,Meta,36,354,False
Jack Cox,Product Manager,Kansas,Meta,69,101,False
Richard Simon,Data Engineer,North Dakota,Meta,46,103,False
Dr. Eric Robinson,Machine Learning Engineer,Alabama,Meta,154,186,False
Michael Preston,Data Scientist,Mississippi,Meta,105,138,False
Sydney Craig,Product Manager,Texas,Meta,135,328,False
Nichole Kane,Machine Learning Engineer,District of Columbia,Meta,52,83,False
Laura Murphy,Product Manager,Missouri,Meta,136,277,False
Samantha Mack,Data Analyst,Arkansas,Meta,128,259,False
Ashley Edwards,Product Manager,Minnesota,Meta,157,300,False
Brenda Strickland,3D Artist,Florida,Meta,30,96,True
Sherry Petersen,Data Analyst,Utah,Meta,62,273,False
Chad Murphy,Data Scientist,South Carolina,Meta,97,155,False
Elizabeth Sanders,3D Artist,Kentucky,Meta,211,241,False
Barbara Smith,Data Engineer,North Dakota,Meta,186,282,False
Nicholas Moody,3D Artist,Maine,Meta,178,224,False
Jennifer Murillo,Machine Learning Engineer,Mississippi,Meta,84,124,False
Henry Stewart,Data Engineer,Texas,Meta,121,231,False
Frederick Brooks,Associate General Counsel Data Protection,Montana,Meta,179,311,False
Jason Adams,Program Manager,New Hampshire,Meta,10,134,True
Susan Romero,Data Engineer,Missouri,Meta,129,347,False
Courtney Roberson,Associate General Counsel Data Protection,Georgia,Meta,150,224,False
Nicole Rivera,Machine Learning Engineer,Arizona,Meta,150,311,False
Javier Cox,3D Artist,Georgia,Meta,120,286,False
Edward Campbell,Data Scientist,Iowa,Meta,38,81,True
Kelly Villanueva,Product Manager,Vermont,Meta,104,137,False
Nicholas Brown,Data Analyst,Texas,Meta,96,295,False
Stephanie Miller,Data Scientist ,Utah,Meta,70,268,False
David Jones,Software Engineer ,Montana,Meta,24,238,True
David Freeman,3D Artist,Oregon,Meta,107,146,False
Anthony Holloway,Machine Learning Engineer,Nebraska,Meta,32,325,False
Tony Townsend,Program Manager,California,Meta,39,223,False
Danielle Ortiz,3D Artist,Ohio,Meta,88,154,False
Shannon Lopez,Program Manager,Alaska,Meta,11,27,True
Melissa Logan,Data Engineer,Wisconsin,Meta,31,218,False
Kimberly Ramos,Data Scientist,Wyoming,Meta,54,175,False
Lindsey Meyer,Data Scientist,Tennessee,Meta,119,316,False
Cassie Powell,Program Manager,Oregon,Meta,50,224,False
Aaron Morales,Associate General Counsel Data Protection,Idaho,Meta,156,317,False
Sarah Lester,Project Manager ,North Dakota,Meta,73,141,False
Christopher Dalton,Project Manager ,New Jersey,Meta,40,73,True
Sierra Watkins,Data Scientist ,Missouri,Meta,191,205,False
Ashley Johnson,Product Manager,Nevada,Meta,78,139,False
Arthur Jones,Program Manager,South Dakota,Meta,86,122,False
Justin White,Associate General Counsel Data Protection,Tennessee,Meta,13,295,True
Michael Harris,Data Analyst,Florida,Meta,83,333,False
Lucas Barry,Program Manager,Delaware,Meta,128,355,False
Mark Christian,Data Analyst,Ohio,Meta,13,246,True
Richard Chapman,Machine Learning Engineer,Tennessee,Meta,100,329,False
Elizabeth Webb,Data Scientist,Delaware,Meta,130,299,False
Donald Oconnell,Data Scientist,New Hampshire,Meta,108,163,False
Ellen Hammond,Data Scientist ,District of Columbia,Meta,56,199,False
William Moon,Data Analyst,Maine,Meta,221,261,False
Jamie Elliott,Program Manager,West Virginia,Meta,61,131,False
Theresa Lloyd,3D Artist,Massachusetts,Meta,178,356,False
Tony Taylor,Program Manager,New Hampshire,Meta,161,181,False
Joseph Mosley,Associate General Counsel Data Protection,New Mexico,Meta,53,91,False
Ray Kelley,Software Engineer ,District of Columbia,Meta,194,246,False
Whitney Fuller,Associate General Counsel Data Protection,South Dakota,Meta,90,154,False
Amanda White,Machine Learning Engineer,Iowa,Meta,43,346,False
Kimberly Irwin,3D Artist,Arizona,Meta,150,247,False
Natalie Dean,Program Manager,Hawaii,Meta,2,91,True
Crystal Gonzalez,Program Manager,New Hampshire,Meta,39,57,True
Laura Miller,Data Analyst,Georgia,Meta,206,245,False
Jessica Fox,Project Manager ,Wyoming,Meta,99,226,False
Joan Berry,Data Analyst,Maryland,Meta,16,309,False
Angelica Rodriguez,Product Manager,Wyoming,Meta,231,329,False
Elizabeth Graves,Data Engineer,Montana,Meta,128,129,False
Shannon Hernandez,Program Manager,Nebraska,Meta,33,191,False
Michael Fisher,3D Artist,New Mexico,Meta,230,237,False
Gary Douglas,Machine Learning Engineer,Kansas,Meta,113,163,False
Laura Cox,Data Scientist ,Delaware,Meta,179,339,False
Philip Nguyen,Data Engineer,Rhode Island,Meta,44,241,False
Dean Stout,Project Manager ,Kentucky,Meta,2,99,True
Douglas Rosales,Product Manager,South Carolina,Meta,119,298,False
Chelsea Mills,3D Artist,Florida,Meta,31,113,True
Lori Farley,Software Engineer ,Alaska,Meta,178,259,False
